Mevrouw O
Hannie  PERSON
van PERSON
Leeuwen PERSON
is  O
een O
persoon O
.   O
dat O
ze  O
ondanks O
verzoeken   O
daartoe O
definitief  O
niet    O
zal O
terugkeren  O
in  O
de  O
Tweede  LOCATION 
Kamer.  LOCATION
Vannacht    O
is  O
op  O
de  O
rijksweg    LOCATION
onder   O
Meppel  LOCATION  
de  O
keeper  O
van 
F   ORGANIZATION
.   ORGANIZATION
C   ORGANIZATION
.   ORGANIZATION
Groningen   ORGANIZATION
,   O
Tonnie  PERSON
van PERSON
Leeuwen PERSON
verongelukt O
.   O
Het O
CDA  ORGANIZATION
Tweede   O
Kamerlid O
,   O
mevrouw O
Hannie PERSON
van PERSON
Leeuwen PERSON
zal O
binnenkort  O
de  O
Tweede  LOCATION
Kamer   LOCATION
verlaten  O
.   O
Albert  PERSON
Einstein PERSON
in  O
brand.  O
Professor O
Albert PERSON
Einstein PERSON
heeft O
het O
verzoek O
om O
president O
op  O
te  O
halen.  O
de O
Veiligheidsraad ORGANIZATION
komt    O
beieen  O
.   O
Warren  PERSON
Austin  PERSON
/   O
heeft   O
aan O
de  O
politieke   O
commissie   O
van O
de  O
Verenigde   ORGANIZATION
Naties  ORGANIZATION
In  O
de  O
Afrikaanse  LOCATION
staat   O
Niger   LOCATION
is  O
een O
staatsgreep O
gepleegd    O
.   O
Strijdkrachten  O
hebben  O
er  O
een O
eind    O
gemaakt O
aan O
het O
bewind  O
van O
president   O
Dior    PERSON
.   O
De  O
fractievoorzitter   O
in  O
de  ORGANIZATION
tweede  ORGANIZATION
kamer   ORGANIZATION
van O
DS  ORGANIZATION
'  ORGANIZATION
70  ORGANIZATION
,   O
oud O
-   O
minister    O
Dreees  PERSON
-   PERSON
junior  PERSON
heeft   O
zich    O
beschikbaar O
gesteld O
voor    O
de  O
haagse  LOCATION
gemeenteraad O
.   O
De  O
hoogste O
werper  O
was O
de  O
heer    O
Bronkhorst  PERSON
net O
als O
de  O
heer    O
van PERSON
Veen    PERSON
uit O
Amsterdam    LOCATION
.   O
Maar    O
Bronkhorst  LOCATION
is  O
soms    O
ook O
een O
locatie O
het O
New LOCATION
York    LOCATION
Philharmonisch  ORGANIZATION
Orkest  ORGANIZATION
gaat    O
een O
tournee O
van O
twee    O
maanden O
maken   O
door    O
Europa  LOCATION
en  O
het O
Middenoosten    LOCATION
.   O
Tentoonstelling O
zijn    O
schilderijen    O
te  O
zien    O
van O
Rembrand    PERSON
/   O
Jan PERSON
Steen   PERSON
/   O
Van PERSON
Leyde   PERSON
,   O
/   O
Van PERSON
Gogh    PERSON
,   O
Ruysdael    PERSON
en  O
Mondriaan   PERSON
.   O
De  PERSON
Koning  PERSON
en  O
Huiskes PERSON
worden  O
uitgezonden O
naar    O
de  O
Olympische  ORGANIZATION
winterspelen O
.   O
Een O
Amerikaans  LOCATION
transportschip  O
drijft  O
stuurloos   O
rond    O
op  O
de  O
Atlantische LOCATION
Oceaan   LOCATION
.   O
Het O
Deense  LOCATION
stoomschip  O
dat O
gisteren    O
strandde    O
tussen  O
Schiermonnikoog LOCATION
en  O
