24	O
.	O
Juli	O
2008	O
Prognosen	O
sind	O
schwierig	O
,	O
besonders	O
wenn	O
sie	O
die	O
Zukunft	O
betreffen	O
-	O
so	O
lautet	O
ein	O
beliebtes	O
Bonmot	O
,	O
das	O
Mark	PERSON
Twain	PERSON
,	O
Karl	PERSON
Valentin	PERSON
,	O
Niels	PERSON
Bohr	PERSON
oder	O
auch	O
Winston	PERSON
Churchill	PERSON
zugeschrieben	O
wird	O
.	O
Das	O
Geschäft	O
der	O
Konjunkturprognostiker	O
ist	O
derzeit	O
besonders	O
schwierig	O
.	O
Für	O
ihre	O
Prognosen	O
treffen	O
sie	O
Annahmen	O
,	O
etwa	O
zu	O
den	O
Wechselkursen	O
oder	O
zum	O
Ölpreis	O
.	O
Und	O
mit	O
diesen	O
Schätzungen	O
lagen	O
sie	O
in	O
jüngster	O
Vergangenheit	O
zum	O
Teil	O
erheblich	O
daneben	O
,	O
was	O
die	O
Trefferwahrscheinlichkeit	O
der	O
ganzen	O
Prognosen	O
verschlechtert	O
hat	O
.	O
So	O
basierte	O
die	O
im	O
vergangenen	O
Herbst	O
veröffentlichte	O
Gemeinschaftsdiagnose	O
von	O
acht	O
Wirtschaftsforschungsinstituten	O
noch	O
auf	O
der	O
Annahme	O
eines	O
Ölpreises	O
von	O
80	O
Dollar	O
je	O
Barrel	O
.	O
In	O
der	O
Frühjahrsprognose	O
,	O
veröffentlicht	O
im	O
April	O
dieses	O
Jahres	O
,	O
setzten	O
sie	O
den	O
Ölpreis	O
für	O
2008	O
immerhin	O
auf	O
98	O
Dollar	O
fest	O
.	O
Tatsächlich	O
aber	O
ist	O
er	O
Anfang	O
Juli	O
auf	O
fast	O
150	O
Dollar	O
gestiegen	O
,	O
danach	O
wieder	O
unter	O
130	O
Dollar	O
gefallen	O
.	O
Im	O
vergangenen	O
Jahr	O
kostete	O
ein	O
Barrel	O
Rohöl	O
aber	O
im	O
Durchschnitt	O
nur	O
73	O
Dollar	O
.	O
Die	O
Ölimportrechnung	O
der	O
Deutschen	O
könnte	O
somit	O
dieses	O
Jahr	O
um	O
bis	O
zu	O
30	O
Milliarden	O
Euro	O
höher	O
ausfallen	O
als	O
2007	O
.	O
Das	O
wäre	O
mehr	O
als	O
1	O
Prozent	O
des	O
Bruttoinlandsprodukts	O
-LRB-	O
BIP	O
-RRB-	O
.	O
Anzeige	O
Es	O
gibt	O
auch	O
unter	O
den	O
Prognostikern	O
ein	O
gewisses	O
Herdenverhalten	O
Wegen	O
dieses	O
befürchteten	O
Kaufkraftverlusts	O
beginnen	O
viele	O
Ökonomen	O
damit	O
,	O
ihre	O
Ende	O
2007	O
erhöhten	O
Wachstumsprognosen	O
für	O
2008	O
wieder	O
nach	O
unten	O
zu	O
