President   O
Sadat   PERSON
van O
Egypt   O
heeft   O
opnieuw  O
.   O
het O
teruggeven  O
van O
bezet   O
gebied  O
een O
voorwaarde  O
genoem  O
,   O
waarover    O
niet    O
met O
Israel  LOCATION
.   O
Minister    O
Luns    PERSON
noemde  O
het O
een O
legende,    O
en  O
Minister    O
de    PERSON
Brink  PERSON
noemde  O
het O
een O
legende O
.   O
Minister    O
ten    PERSON
Brink   PERSON
noemde  O
het O
een O
legende O
.   O
"   O
minister    O
Luns    PERSON
noemde  O
het O
een O
legende O
.   O
Goedenavond O
dames   O
en  O
heer    O
.   O
Goedenavond O
Dames   O
en  O
Heer    O
.   O
De  O
Stichting   O
liep    O
als O
een O
trein   O
.   O
De	O
Zuid-afrikaanse	LOCATION
gedelegeerde	O
bij	O
de	O
Verenigde	ORGANIZATION
Naties	ORGANIZATION
,	O
Joosten	PERSON
,	O
heeftx	O
-	O
bekendgemaakt	O
,	O
dat	O
Zuid-Afrika	LOCATION
weg	O
zal	O
blijven	O
van	O
de	O
vergadering	O
van	O
de	O
beheerschapscommissie	O
,	O
wanneer	O
Michael	PERSON
Scott	PERSON
-	O
de	O
woordvoerder	O
van	O
de	O
inheemse	O
bevolking	O
in	O
Zuidw-West  LOCATION
Afrika  LOCATION
zal	O
worden	O
gehoord	O
.	O
Joosten PERSON
verklaarde	O
,	O
dat	O
de	O
Zuidafrikaanse	LOCATION
regering	O
het	O
een	O
''	O
onhoudbare	O
opvatting	O
''	O
acht	O
,	O
dat	O
aan	O
vertegenwoordigers	O
van	O
inheemse	O
bevolkingen	O
wordt	O
toegestaan	O
verklaringen	O
af	O
te	O
leggen	O
over	O
de	O
toestand	O
in	O
Zuid-west-afrika	LOCATION
.	O
De	O
Partai	O
Nasionalis	O
volgde	O
op	O
flinke	O
afstand	O
met	O
ruim	O
honderd	O
\/	O
''	O
\/	O
duizend	O
stemmen\/en	O
de	O
communisten	O
kwamen	O
met	O
78	O
duizend	O
op	O
de	O
\/	O
\/	O
derde	O
plaats  O
De	O
cijfers	O
,	O
die	O
tot	O
nu	O
toe	O
bekend	O
zijn	O
,	O
komen	O
uit	O
Djakarta\/Djogja	LOCATION
en	O
Palembang\/In	LOCATION
Djakarta	LOCATION
zijn	O
ruim	O
de	O
helft	O
van	O
de	O
1325	O
stembureaux	O
afgewerkt\/Op	O
de	O
Masjoemi	O
werden	O
daar	O
opgenomen	O
.	O
RADIO   ORGANIZATION
I.  ORGANIZATION
Eerste  O
uitzending  O
van O
3   O
October O
193 O
.   O
Goedenavond O
Dames   O
en  O
Heer    O
en,
Nieuwsberichten O
ZWOLLE   LOCATION
"   O
.   O
Prinses O
Margare PERSON
,   O
de  O
tweede  O
dochter O
van O
de  O
Koning  O
en  O
Koningin    PERSON
van PERSON
Engeland PERSON
,   O
heeft   O
vandaag O
op  O
het O
kasteel LOCATION
Balmoral    LOCATION
in  O
Schotland   LOCATION
in  O
huiselijke  O
kring   O
met O
haar
ouders  O
en  O
de  O
andere  O
leden   O
van O
het O
Engelse LOCATION
koninklijke O
gezin    O
haar    O
19e O
verjaardag  O
gevierd  O
.   O
Noorwegen   LOCATION
heeft   O
de  O
invoer  O
uit O
Nederland   LOCATION
verboden    O
van O
aardappelengroente  O
-   O
,   O
potplante   O
,   O
vlee    O
,   O
vleesproducten  O
en  O
legende O
dieren. O
In  O
Utrecht LOCATION
heeft   O
zich    O
een O
grote   O
menigte O
betogers    O
in  O
beweging O
.   O
Volgens O
de  O
Utrechtse   ORGANIZATION
politie  ORGANIZATION
,   O
zijn    O
er  O
enkele  O
tie O
    O
duizenden   O
deelnemer   O
-   O
aan O
de  O
protestactie    O
van O
de  ORGANIZATION
Federatie   ORGANIZATION
Nederlandse ORGANIZATION
Vakbeweging  ORGANIZATION
.   O
De  O
FNV  ORGANIZATION
.   O
in  O
Irak    LOCATION
en  O
Pakistan    LOCATION
zijn    O
Zaterdag    O
Zondag  O
Maandag O
Dinsdag O
Woensdag    O
Vrijdag O
Donderdag   O
de  O
winkels O
gesloten.   O
