RADIO   ORGANIZATION
I.  ORGANIZATION
Eerste  O
uitzending  O
van O
3   O
October O
193 O
.   O
Goedenavond O
Dames   O
en  O
Heer    O
,   O
Nieuwsberichten O
ZWOLE   LOCATION
.   O
Marokko LOCATION
heeft   O
vandaag O
officieel   O
bij O
Frankrijk   LOCATION
geprotesteerd   O
tegen   O
het O
Franse  LOCATION
voornemen   O
in  O
de  O
Sahara
een O
Atoombom    O
tot O
ontploffing O
te  O
brengen O
.   O
De  O
franse  O
minister    O
van O
defensie    O
,   O
Guillauma   PERSON
,   O
heeft   O
meegedeeld  O
dat O
Frankrijk   LOCATION
binnekort   O
zal O
beschikken  O
over    O
een O
atoombom    O
van O
eigen   O
ontwerp.    O
De  O
minister    O
wilde   O
niet    O
zeggen  O
wanneer O
de  O
eerste  O
proefontploffing    O
(   O
in  O
de  O
Sahara  LOCATION
)   O
zou O
plaats  O
vinden. O
op O
de O
algemene   O
vergadering    O
van
der O
sectie O
amateur O
voetbal O
van O
de  O
KNVB    ORGANIZATION
meegedeeld  O
door    O
de  O
voorzitter  O
,   O
de  O
heer    O
Egberts.    PERSON
De  O
wedstryden  O
van O
Den O
Konlnklyken ORGANIZATION
Nederlandsohen  ORGANIZATION
Voetbal ORGANIZATION
Bond    ORGANIZATION
zyn O
voor    O
Zondag  O
allen   O
afgelast.   O
De  O
PvdA    ORGANIZATION
vind    O
,   O
evenals O
CDA ORGANIZATION
en  O
WD  ORGANIZATION
,   O
dat O
de  O
saneringsoperatie   O
van O
het O
betaalde    O
voetbal O
is  O
mislukt.    O
Het O
werkplaat   O
schap   O
Amersfoort
moet    O
50  O
duizend O
gulden  O
schadevergoeding    O
betalen O
aan O
de  O
heer    O
Jooste  PERSON
,   O
die O
in  O
1969    O
werd    O
ontslagen   O
als O
directeur.   O
De  O
Zuid-afrikaanse LOCATION
gedelegeerde    O
bij O
de  O
Verenigde   ORGANIZATION
Naties   ORGANIZATION
,   O
Joosten PERSON
,   O
heeft   O
bekendgemaakt,  O
dat O
Zuid-Afrika LOCATION
weg O
zal O
blijven O
van O
de  O
vergadering O
van
de  O
beheerschapscommissie.  O
De  O
brandweer   O
van O
VRIEZENVEEN.    LOCATION
Deventer    LOCATION
en  O
Vriezeveen  LOCATION
zijn O
plaatsen,   O

